Hyperbolic rotation test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 30
Number format               : q3.28
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration
 0 :   1.687206,  -5.743098,  -0.758864 |   5.796462,  -7.372183,    0.000000 | 1.142263e-08, 1.867785e-08, 4.656613e-10 : 000, -1
 1 :   2.172125,   1.835431,   0.701694 |   3.423191,   3.284688,    0.000000 | 1.753452e-08, 2.570610e-08, 4.656613e-10 : 000, -1
 2 :  -5.395730,  -0.905421,   0.276806 |  -4.860536,  -2.035496,    0.000000 | 1.853151e-08, 9.449239e-09, 4.656613e-10 : 000, -1
 3 :  -6.977353,  -0.114729,  -0.910471 |  -8.260638,   5.892946,    0.000000 | 1.596148e+01, 3.176782e-01, 4.656613e-10 : 100,  2
 4 :  -5.215212,  -3.824954,   0.030576 |  -4.426570,  -3.307698,    0.000000 | 4.191822e-02, 5.589101e-02, 1.256693e-02 : 000, -1
 5 :   0.765431,   5.528352,  -0.053405 |   0.390943,   4.559932,    0.000000 | 1.385125e-08, 2.188392e-08, 4.656613e-10 : 000, -1
 6 :   4.857838,  -2.989250,   0.331178 |   3.417466,  -1.258199,    0.000000 | 7.184315e-10, 1.886453e-09, 0.000000e+00 : 000, -1
 7 :   2.306479,   0.182299,  -0.508617 |   2.086509,  -0.844684,    0.000000 | 2.903888e-09, 1.670353e-09, 0.000000e+00 : 000, -1
 8 :   6.254603,  -3.486145,   0.060280 |   5.024907,  -2.584957,    0.000000 | 1.336101e-08, 2.473402e-08, 4.656613e-10 : 000, -1
 9 :   2.133224,   2.574813,   0.718208 |   3.916447,   4.095124,    0.000000 | 1.956640e-08, 1.120618e-08, 9.313226e-10 : 000, -1
10 :   0.362829,  -2.056517,  -0.496654 |   1.221765,  -2.077034,    0.000000 | 2.885431e-09, 1.012446e-08, 9.313226e-10 : 000, -1
11 :  -6.092472,  -7.904905,   0.430905 |  -8.446812,  -9.424242,    0.000000 | 1.361859e+01, 1.361859e+01, 4.656613e-10 : 110,  0
12 :  -5.948989,   6.061147,   0.300716 |  -3.625918,   3.751634,    0.000000 | 4.988349e-09, 5.344362e-09, 4.656613e-10 : 000, -1
13 :  -5.100243,   7.758374,   0.052896 |  -3.897319,   6.222800,    0.000000 | 8.404197e-09, 9.738672e-10, 4.656613e-10 : 000, -1
14 :  -2.792254,  -7.916041,   0.993105 | -11.206269, -12.781176,    0.000000 | 7.029150e+00, 1.686505e+01, 4.656613e-10 : 010,  0
15 :   4.307740,  -2.024311,  -0.233808 |   4.068954,  -2.569235,    0.000000 | 2.853517e-09, 8.859597e-09, 0.000000e+00 : 000, -1
16 :   1.735718,  -3.219909,   0.423282 |   0.406220,  -2.286760,    0.000000 | 6.908210e-09, 2.227602e-08, 4.656613e-10 : 000, -1
17 :   4.211111,   4.041580,  -0.694114 |   1.851138,   1.569519,    0.000000 | 2.642551e-09, 1.605852e-08, 4.656613e-10 : 000, -1
18 :   7.617219,  -5.279934,  -0.189856 |   7.271685,  -5.667618,    0.000000 | 1.070153e+01, 1.070153e+01, 0.000000e+00 : 110,  0
19 :   3.483637,   6.734992,  -0.501808 |   0.338730,   4.794891,    0.000000 | 1.479208e-08, 7.588437e-09, 4.656613e-10 : 000, -1
20 :  -2.225603,  -6.223820,   0.101480 |  -2.381265,  -5.378757,    0.000000 | 3.515050e-09, 1.323761e-08, 4.656613e-10 : 000, -1
21 :   5.255847,   3.100983,  -0.385001 |   3.673123,   1.045353,    0.000000 | 1.504505e-08, 2.181047e-08, 4.656613e-10 : 000, -1
22 :   4.417288,   5.548869,  -0.833922 |   0.715043,   2.876853,    0.000000 | 6.884524e-09, 6.246380e-09, 4.656613e-10 : 000, -1
23 :   3.707465,  -5.033540,  -0.598653 |   6.296781,  -6.901482,    0.000000 | 1.422359e+01, 1.487484e+01, 4.656613e-10 : 110,  4
24 :  -5.935688,   1.873194,  -0.472903 |  -6.249166,   4.148401,    0.000000 | 2.991321e-09, 1.313605e-08, 4.656613e-10 : 000, -1
25 :   3.857365,   2.018489,  -0.084982 |   3.069828,   1.408623,    0.000000 | 7.983031e-09, 5.465036e-09, 4.656613e-10 : 000, -1
26 :  -3.024731,  -7.526709,  -0.125316 |  -1.744882,  -5.979278,    0.000000 | 1.086917e-08, 2.918664e-09, 0.000000e+00 : 000, -1
27 :  -6.882332,   0.965722,   0.031354 |  -5.688510,   0.622645,    0.000000 | 6.945135e-03, 6.701857e-02, 1.178873e-02 : 000, -1
28 :   5.993345,   0.395315,   0.251460 |   5.214587,   1.602225,    0.000000 | 1.498451e-08, 1.390660e-08, 0.000000e+00 : 000, -1
29 :  -4.709252,   2.732333,  -0.065604 |  -4.064910,   2.528664,    0.000000 | 2.363317e-08, 3.224622e-08, 4.656613e-10 : 000, -1
30 :   7.011672,   3.481899,   0.635609 |   8.996110,   7.444906,    0.000000 | 1.538752e+01, 1.324700e+00, 4.656613e-10 : 100,  0
31 :  -7.830605,   2.662889,   0.313546 |  -6.115491,   0.248249,    0.000000 | 2.173730e-08, 1.026214e-08, 4.656613e-10 : 000, -1
32 :   0.392155,   7.379421,  -0.243604 |  -1.171355,   6.225840,    0.000000 | 2.290539e-09, 1.432492e-08, 9.313226e-10 : 000, -1
33 :   1.649687,   3.555371,  -0.569948 |  -0.176677,   2.619342,    0.000000 | 6.392289e-09, 1.430540e-10, 0.000000e+00 : 000, -1
