Hyperbolic rotation test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 30
Number format               : q3.28
CORDIC iteration logging    : OFF
Test logging                : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,  error ang
 0 :   1.687206,  -5.743098, -136.595608 |  33.288811, -33.599033,    0.000000 | 2.611758e+01, 4.109696e+01,  83.288980 : Overflow
 1 :   2.172125,   1.835431, 126.304926 |  15.088008,  15.057189,    0.000000 | 1.026192e+01, 1.032834e+01,  65.830985 :       OK
 2 :  -5.395730,  -0.905421,  49.825163 |  -7.018467,  -5.456859,    0.000000 | 6.464184e-09, 9.782518e-09,   0.000000 :       OK
 3 :  -6.977353,  -0.114729, -163.884735 | -49.901926,  49.565017,    0.000000 | 5.750046e+01, 4.349064e+01, 110.578107 : Overflow
 4 :  -5.215212,  -3.824954,   5.503677 |  -4.652810,  -3.604857,    0.000000 | 6.280594e-10, 5.709020e-09,   0.000000 :       OK
 5 :   0.765431,   5.528352,  -9.612945 |  -0.129165,   4.544979,    0.000000 | 1.113968e-08, 1.353014e-08,   0.000000 :       OK
 6 :   4.857838,  -2.989250,  59.612102 |   3.344561,   1.044071,    0.000000 | 1.056821e-10, 8.305375e-09,   0.000000 :       OK
 7 :   2.306479,   0.182299, -91.550984 |   4.564733,  -4.146898,    0.000000 | 1.673101e+00, 1.973995e+00,  31.077044 :       OK
 8 :   6.254603,  -3.486145,  10.850380 |   4.732204,  -1.956033,    0.000000 | 5.193622e-09, 1.758129e-09,   0.000000 :       OK
 9 :   2.133224,   2.574813, 129.277504 |  18.630872,  18.669249,    0.000000 | 1.308211e+01, 1.299296e+01,  68.803564 :       OK
10 :   0.362829,  -2.056517, -89.397711 |   4.630474,  -4.925714,    0.000000 | 1.990893e+00, 1.797016e+00,  28.923771 :       OK
11 :  -6.092472,  -7.904905,  77.562912 | -22.291008, -22.679434,    0.000000 | 2.824608e+01, 2.772829e+01,  46.089988 : Overflow
12 :  -5.948989,   6.061147,  54.128957 |  -1.817587,   2.056964,    0.000000 | 1.609138e-08, 9.478145e-09,   0.000000 :       OK
13 :  -5.100243,   7.758374,   9.521284 |  -3.215915,   5.820331,    0.000000 | 3.481461e-08, 7.079937e-09,   0.000000 :       OK
14 :  -2.792254,  -7.916041, 178.758840 | -100.511838, -100.699591,    0.000000 | 9.376156e+01, 1.073874e+02, 147.285916 : Overflow
15 :   4.307740,  -2.024311, -42.085398 |   5.930693,  -5.021723,    0.000000 | 2.235368e-08, 2.932580e-08,   0.000000 :       OK
16 :   1.735718,  -3.219909,  76.190816 |  -1.783872,  -2.871665,    0.000000 | 7.301090e-01, 3.867754e-01,  15.716875 :       OK
17 :   4.211111,   4.041580, -124.940542 |   1.009417,  -0.235800,    0.000000 | 3.843222e-01, 1.225339e+00,  64.466601 :       OK
18 :   7.617219,  -5.279934, -34.174007 |  10.249518,  -9.181347,    0.000000 | 1.599233e+01, 1.609280e+01,   2.701083 : Overflow
19 :   3.483637,   6.734992, -90.325515 |  -5.649763,   7.402436,    0.000000 | 3.249282e+00, 2.050937e+00,  29.851575 :       OK
20 :  -2.225603,  -6.223820,  18.266358 |  -3.615902,  -6.027882,    0.000000 | 2.887853e-08, 3.036861e-08,   0.000000 :       OK
21 :   5.255847,   3.100983, -69.300135 |   4.031077,  -1.962272,    0.000000 | 2.555536e-01, 6.001022e-01,   8.826195 :       OK
22 :   4.417288,   5.548869, -150.106002 |  -6.146603,   6.748757,    0.000000 | 6.236681e+00, 3.960727e+00,  89.632062 :       OK
23 :   3.707465,  -5.033540, -107.757508 |  23.700002, -23.867783,    0.000000 | 1.575395e+01, 3.142445e+01,  61.650508 : Overflow
24 :  -5.935688,   1.873194, -85.122498 | -14.694820,  13.931794,    0.000000 | 2.261228e+01, 7.372686e+00,  39.015498 : Overflow
