Circular vectoring test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 15
Number format               : q0.31
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           :  ON
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration
 0 :   0.271516,   0.229429,   0.000000 |   0.585373,   0.000000,   40.197581 | 6.339811e-10, 3.778841e-06, 3.699500e-04 : 000, -1
 1 :   0.288310,   0.022787,   0.000000 |   0.476258,   0.000000,    4.519144 | 8.156913e-10, 1.416216e-05, 1.703775e-03 : 000, -1
 2 :   0.266653,   0.321852,   0.000000 |   0.688283,   0.000000,   50.358364 | 9.758343e-10, 3.654836e-05, 3.042437e-03 : 000, -1
 3 :   0.045354,  -0.257065,   0.000000 |   0.429862,   0.000000,  -79.994340 | 6.767235e-10, 6.365590e-06, 8.483717e-04 : 000, -1
 4 :   0.538467,  -0.253039,   0.000000 |   0.979754,   0.000000,  -25.169964 | 2.679218e-10, 3.160909e-05, 1.848375e-03 : 000, -1
 5 :   0.216965,  -0.402489,   0.000000 |   0.752969,   0.000000,  -61.672748 | 1.209816e-09, 2.940139e-05, 2.237274e-03 : 000, -1
 6 :   0.482171,   0.252311,   0.000000 |   0.896161,   0.000000,   27.622247 | 1.732124e-09, 5.275430e-05, 3.372653e-03 : 000, -1
 7 :   0.206211,   0.444421,   0.000000 |   0.806800,   0.000000,   65.108766 | 5.904740e-10, 1.148274e-05, 8.153984e-04 : 000, -1
 8 :   0.219958,  -0.343276,   0.000000 |   0.671385,   0.000000,  -57.349748 | 8.631273e-10, 3.072992e-05, 2.622301e-03 : 000, -1
 9 :   0.151028,  -0.007814,   0.000000 |   0.249040,   0.000000,   -2.961679 | 3.923035e-10, 1.485739e-05, 3.418037e-03 : 000, -1
10 :   0.472879,   0.257835,   0.000000 |   0.886951,   0.000000,   28.601174 | 2.612985e-09, 5.248515e-05, 3.390532e-03 : 000, -1
11 :   0.301808,   0.164704,   0.000000 |   0.566197,   0.000000,   28.622375 | 1.623113e-09, 3.345124e-05, 3.385045e-03 : 000, -1
12 :   0.388655,  -0.158285,   0.000000 |   0.691064,   0.000000,  -22.159309 | 6.257402e-10, 2.163183e-05, 1.793443e-03 : 000, -1
13 :   0.201247,  -0.461206,   0.000000 |   0.828652,   0.000000,  -66.425983 | 2.474609e-11, 4.566973e-05, 3.157563e-03 : 000, -1
14 :   0.340822,  -0.359454,   0.000000 |   0.815715,   0.000000,  -46.524059 | 1.052019e-09, 4.932750e-06, 3.465405e-04 : 000, -1
15 :   0.044687,   0.302970,   0.000000 |   0.504317,   0.000000,   81.609522 | 2.501865e-11, 4.718080e-06, 5.361246e-04 : 000, -1
16 :   0.341454,   0.191866,   0.000000 |   0.644983,   0.000000,   29.332065 | 1.626615e-09, 1.011090e-05, 8.982367e-04 : 000, -1
17 :   0.390946,   0.219511,   0.000000 |   0.738336,   0.000000,   29.313648 | 2.664250e-09, 4.463969e-05, 3.464053e-03 : 000, -1
18 :   0.477324,   0.184723,   0.000000 |   0.842847,   0.000000,   21.156275 | 1.269382e-09, 3.064144e-05, 2.082854e-03 : 000, -1
19 :   0.448912,  -0.227920,   0.000000 |   0.829074,   0.000000,  -26.917684 | 1.424226e-09, 2.399087e-05, 1.657975e-03 : 000, -1
20 :   0.147209,  -0.066294,   0.000000 |   0.265866,   0.000000,  -24.243938 | 8.801643e-10, 1.078798e-05, 2.324863e-03 : 000, -1
21 :   0.560823,  -0.232318,   0.000000 |   0.999645,   0.000000,  -22.501539 | 2.246525e-09, 2.293056e-05, 1.314439e-03 : 000, -1
22 :   0.466304,   0.137532,   0.000000 |   0.800593,   0.000000,   16.432882 | 7.771520e-10, 1.348881e-05, 9.652598e-04 : 000, -1
23 :   0.180775,  -0.377409,   0.000000 |   0.689120,   0.000000,  -64.406085 | 1.200593e-09, 4.130881e-05, 3.434508e-03 : 000, -1
24 :   0.087798,  -0.321495,   0.000000 |   0.548813,   0.000000,  -74.725425 | 4.887972e-10, 3.191782e-05, 3.332120e-03 : 000, -1
25 :   0.195447,  -0.503853,   0.000000 |   0.889962,   0.000000,  -68.798525 | 5.929091e-10, 1.789955e-05, 1.152389e-03 : 000, -1
26 :   0.322309,   0.243589,   0.000000 |   0.665296,   0.000000,   37.080691 | 1.702552e-09, 2.004020e-05, 1.725897e-03 : 000, -1
27 :  -0.033640,   0.531850,   0.000000 |   0.877580,   0.000000,   93.619209 | 3.269940e-12, 2.820371e-05, 1.841291e-03 : 000, -1
28 :   0.150166,  -0.428170,   0.000000 |   0.747201,   0.000000,  -70.673380 | 3.798943e-10, 7.484574e-06, 5.739837e-04 : 000, -1
29 :   0.332527,  -0.085976,   0.000000 |   0.565600,   0.000000,  -14.496530 | 1.860926e-10, 9.508803e-06, 9.631659e-04 : 000, -1
30 :   0.186825,  -0.153697,   0.000000 |   0.398387,   0.000000,  -39.443350 | 7.229310e-10, 3.633555e-06, 5.226341e-04 : 000, -1
31 :  -0.033575,  -0.525836,   0.000000 |   0.867689,   0.000000,  -93.653364 | 1.420513e-09, 4.023500e-05, 2.656936e-03 : 000, -1
32 :   0.244331,  -0.067528,   0.000000 |   0.417438,   0.000000,  -15.449681 | 1.676301e-09, 2.242997e-05, 3.078652e-03 : 000, -1
33 :   0.206732,   0.134288,   0.000000 |   0.405957,   0.000000,   33.006811 | 2.610420e-10, 1.956010e-05, 2.760593e-03 : 000, -1
34 :   0.215069,  -0.265277,   0.000000 |   0.562379,   0.000000,  -50.967232 | 1.740887e-09, 2.543395e-05, 2.591378e-03 : 000, -1
35 :   0.229969,  -0.366557,   0.000000 |   0.712593,   0.000000,  -57.896827 | 1.953237e-09, 3.113551e-05, 2.503588e-03 : 000, -1
36 :   0.270268,  -0.412328,   0.000000 |   0.811870,   0.000000,  -56.756493 | 1.512873e-09, 4.435517e-05, 3.130306e-03 : 000, -1
37 :   0.194526,   0.179908,   0.000000 |   0.436336,   0.000000,   42.764226 | 5.610660e-10, 2.583954e-06, 3.393491e-04 : 000, -1
38 :   0.272819,   0.520619,   0.000000 |   0.967917,   0.000000,   62.344221 | 1.720538e-09, 3.686547e-05, 2.182423e-03 : 000, -1
39 :   0.409953,   0.016468,   0.000000 |   0.675638,   0.000000,    2.300322 | 1.150293e-09, 5.421229e-06, 4.597679e-04 : 000, -1
