Hyperbolic vectoring test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 30
Number format               : q3.28
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           :  ON
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration
 0 :   1.724180,   0.952799,   0.000000 |   1.192397,   0.000000,    0.622131 | 2.839394e-08, 3.725290e-09, 7.434753e-09 : 000, -1
 1 :   7.182479,  -0.783229,   0.000000 |   5.924348,   0.000000,   -0.109482 | 2.152332e-08, 3.725290e-09, 1.398105e-09 : 000, -1
 2 :   7.836189,   5.686645,   0.000000 |   4.473741,   0.000000,    0.919562 | 5.837988e-10, 3.725290e-09, 4.199071e-09 : 000, -1
 3 :   2.190549,   1.459104,   0.000000 |   1.355753,   0.000000,    0.803683 | 2.668252e-08, 0.000000e+00, 9.189201e-09 : 000, -1
 4 :   6.299136,   4.714161,   0.000000 |   3.466839,   0.000000,    0.969267 | 2.780740e-08, 3.725290e-09, 4.045909e-09 : 000, -1
 5 :   7.923176,  -2.353149,   0.000000 |   6.277856,   0.000000,   -0.306221 | 2.055717e-08, 1.117587e-08, 3.444647e-09 : 000, -1
 6 :   6.780583,  -3.649615,   0.000000 |   4.741867,   0.000000,   -0.601682 | 1.780701e-08, 0.000000e+00, 2.287623e-09 : 000, -1
 7 :   6.291024,  -3.962355,   0.000000 |   4.054630,   0.000000,   -0.741155 | 2.762989e-08, 7.450581e-09, 1.118841e-09 : 000, -1
 8 :   7.035448,   3.538866,   0.000000 |   5.045588,   0.000000,    0.553321 | 9.946851e-07, 3.266994e-03, 6.474866e-04 : 000, -1
 9 :   7.573045,   3.056721,   0.000000 |   5.749343,   0.000000,    0.427980 | 2.962314e-08, 0.000000e+00, 9.509802e-10 : 000, -1
10 :   6.763860,   2.429217,   0.000000 |   5.238065,   0.000000,    0.375906 | 2.828730e-08, 1.117587e-08, 1.553752e-09 : 000, -1
11 :   5.844561,   3.226111,   0.000000 |   4.043949,   0.000000,    0.621232 | 4.297926e-08, 7.450581e-09, 2.961574e-10 : 000, -1
12 :   7.606908,   4.663674,   0.000000 |   4.986649,   0.000000,    0.713848 | 1.690402e-08, 3.725290e-09, 1.141050e-09 : 000, -1
13 :   6.729976,   4.977453,   0.000000 |   3.758603,   0.000000,    0.949584 | 2.282765e-08, 0.000000e+00, 2.381774e-09 : 000, -1
14 :   2.717851,  -0.264537,   0.000000 |   2.244514,   0.000000,   -0.097642 | 3.654055e-08, 3.725290e-09, 1.938332e-10 : 000, -1
15 :   3.322939,   0.576158,   0.000000 |   2.715550,   0.000000,    0.175158 | 4.704322e-08, 0.000000e+00, 1.194362e-08 : 000, -1
16 :   7.937276,  -2.071810,   0.000000 |   6.357879,   0.000000,   -0.267206 | 3.702635e-08, 3.725290e-09, 3.074071e-09 : 000, -1
17 :   5.590939,   1.373445,   0.000000 |   4.497099,   0.000000,    0.250784 | 1.886223e-08, 7.450581e-09, 1.990540e-09 : 000, -1
18 :   3.904664,  -2.841425,   0.000000 |   2.222314,   0.000000,   -0.923821 | 2.039132e-08, 0.000000e+00, 1.108723e-09 : 000, -1
19 :   7.870378,   2.190715,   0.000000 |   6.272601,   0.000000,    0.285892 | 1.374945e-08, 0.000000e+00, 2.826452e-10 : 000, -1
20 :   3.925919,   0.206357,   0.000000 |   3.253152,   0.000000,    0.052611 | 3.350371e-08, 3.725290e-09, 2.241832e-09 : 000, -1
21 :   2.107057,   1.288670,   0.000000 |   1.383279,   0.000000,    0.711469 | 3.473072e-08, 3.725290e-09, 3.561055e-10 : 000, -1
22 :   3.663895,  -0.156003,   0.000000 |   3.037476,   0.000000,   -0.042604 | 4.797517e-07, 1.636557e-03, 5.387771e-04 : 000, -1
23 :   7.503238,   3.055346,   0.000000 |   5.686483,   0.000000,    0.432254 | 1.088571e-08, 3.725290e-09, 2.181587e-09 : 000, -1
24 :   7.891073,  -2.837681,   0.000000 |   6.109842,   0.000000,   -0.376434 | 1.346624e-08, 7.450581e-09, 1.731930e-09 : 000, -1
