Vivado Simulator 2020.2
Time resolution is 1 ps
XilinxAXIVIP: Found at Path: tb_top.DUT.design_1_i.axi_vip_0.inst
Test initialized... Waiting for system reset...
System reset completed... Starting test...
Circular vectoring test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 30
Number format               : q0.31
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration
 0 :   0.141272,  -0.495808,   0.000000 |   0.848974,   0.000000,  -74.095978 | 3.703159e-09, 9.313226e-10, 2.012452e-07 : 000, -1
 1 :  -0.964696,  -0.609853,   0.000000 |   1.879443,   0.000000, -147.700111 | 2.127472e+00, 5.675686e-01, 1.386494e+01 : 100,  1
 2 :   0.052535,   0.553699,   0.000000 |   0.915904,   0.000000,   84.579952 | 1.777674e-09, 1.862645e-09, 1.444127e-07 : 000, -1
 3 :  -0.603439,  -0.927999,   0.000000 |   1.822868,   0.000000, -123.034253 | 2.129150e+00, 5.588414e-01, 1.459930e+01 : 100,  1
 4 :   0.007443,   0.053461,   0.000000 |   0.088886,   0.000000,   82.074194 | 5.694183e-09, -0.000000e+00, 7.030195e-07 : 000, -1
 5 :   0.462034,   0.238702,   0.000000 |   0.856402,   0.000000,   27.322391 | 3.188013e-09, 1.862645e-09, 7.251393e-08 : 000, -1
 6 :   0.928355,   0.548278,   0.000000 |   1.775489,   0.000000,   30.565697 | 2.108817e+00, 6.417609e-01, 1.213075e+01 : 100,  1
 7 :   0.976499,  -0.224880,   0.000000 |   1.650150,   0.000000,  -12.968641 | 2.072962e+00, 8.490701e-01, 5.466308e+00 : 110,  1
 8 :  -0.226821,  -0.335333,   0.000000 |   0.666675,   0.000000, -124.074701 | 2.207160e-09, 4.656613e-10, 7.863294e-08 : 000, -1
 9 :   0.895995,  -0.532640,   0.000000 |   1.716516,   0.000000,  -30.730116 | 2.106203e+00, 6.490373e-01, 1.229517e+01 : 100,  1
10 :  -0.928136,   0.561916,   0.000000 |   1.786705,   0.000000,  148.808283 | 2.113543e+00, 6.211943e-01, 1.275677e+01 : 101,  1
11 :   0.946790,  -0.191693,   0.000000 |   1.590772,   0.000000,  -11.445764 | 2.074740e+00, 8.141452e-01, 6.989185e+00 : 110,  1
12 :  -0.093735,  -0.228201,   0.000000 |   0.406260,   0.000000, -112.330786 | 8.663952e-10, 4.656613e-10, 1.341755e-07 : 000, -1
