Vivado Simulator 2020.2
Time resolution is 1 ps
XilinxAXIVIP: Found at Path: tb_top.DUT.design_1_i.axi_vip_0.inst
Test initialized... Waiting for system reset...
System reset completed... Starting test...
Circular vectoring test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 30
Number format               : q0.31
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           :  ON
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration
 0 :   0.141272,  -0.495808,   0.000000 |   0.848974,   0.000000,  -74.095978 | 3.703159e-09, 9.313226e-10, 2.012452e-07 : 000, -1
 1 :   0.052535,   0.553699,   0.000000 |   0.915904,   0.000000,   84.579952 | 1.777674e-09, 1.862645e-09, 1.444127e-07 : 000, -1
 2 :   0.007443,   0.053461,   0.000000 |   0.088886,   0.000000,   82.074194 | 5.694183e-09, -0.000000e+00, 7.030195e-07 : 000, -1
 3 :   0.462034,   0.238702,   0.000000 |   0.856402,   0.000000,   27.322391 | 3.188013e-09, 1.862645e-09, 7.251393e-08 : 000, -1
 4 :  -0.226821,  -0.335333,   0.000000 |   0.666675,   0.000000, -124.074701 | 2.207160e-09, 4.656613e-10, 7.863294e-08 : 000, -1
 5 :  -0.093735,  -0.228201,   0.000000 |   0.406260,   0.000000, -112.330786 | 8.663952e-10, 4.656613e-10, 1.341755e-07 : 000, -1
 6 :   0.362069,  -0.261287,   0.000000 |   0.735283,   0.000000,  -35.816032 | 1.949627e-09, -0.000000e+00, 4.296322e-08 : 000, -1
 7 :  -0.498195,   0.128056,   0.000000 |   0.847077,   0.000000,  165.584801 | 2.662785e-09, 4.656613e-10, 5.134382e-07 : 001,  1
 8 :   0.418941,  -0.166804,   0.000000 |   0.742569,   0.000000,  -21.710274 | 3.645082e-09, 1.862645e-09, 1.788224e-07 : 000, -1
 9 :   0.117185,  -0.189287,   0.000000 |   0.366610,   0.000000,  -58.238945 | 2.473291e-09, 4.656613e-10, 5.750979e-08 : 000, -1
10 :   0.136850,   0.039349,   0.000000 |   0.234489,   0.000000,   16.041862 | 3.304606e-09, 4.656613e-10, 3.555826e-07 : 000, -1
11 :   0.256003,  -0.153955,   0.000000 |   0.491937,   0.000000,  -31.021845 | 3.745176e-09, 4.656613e-10, 2.777882e-07 : 000, -1
12 :  -0.262054,   0.164547,   0.000000 |   0.509560,   0.000000,  147.874842 | 2.959809e-09, -0.000000e+00, 3.098366e-07 : 001,  1
13 :  -0.506738,   0.083322,   0.000000 |   0.845682,   0.000000,  170.662527 | 4.320455e-09, 9.313226e-10, 6.818738e-09 : 001,  1
14 :   0.383881,   0.298522,   0.000000 |   0.800808,   0.000000,   37.870137 | 3.457171e-09, 1.396984e-09, 9.700127e-08 : 000, -1
15 :   0.586950,   0.047775,   0.000000 |   0.969763,   0.000000,    4.653365 | 4.754073e-09, 1.396984e-09, 1.966585e-07 : 000, -1
16 :  -0.535084,   0.241789,   0.000000 |   0.966940,   0.000000,  155.683223 | 3.962822e-09, 4.656613e-10, 2.915812e-07 : 001,  1
17 :   0.070705,  -0.507660,   0.000000 |   0.844063,   0.000000,  -82.071079 | 2.694002e-09, 2.328306e-09, 1.925176e-07 : 000, -1
18 :   0.428879,   0.225400,   0.000000 |   0.797859,   0.000000,   27.724437 | 3.951222e-09, 4.656613e-10, 1.573142e-07 : 000, -1
19 :   0.123613,  -0.172486,   0.000000 |   0.349454,   0.000000,  -54.372539 | 2.925693e-09, 4.656613e-10, 3.787843e-07 : 000, -1
20 :   0.358226,   0.285501,   0.000000 |   0.754347,   0.000000,   38.554338 | 2.481524e-09, 1.396984e-09, 1.045649e-07 : 000, -1
21 :   0.344403,  -0.474633,   0.000000 |   0.965695,   0.000000,  -54.034658 | 2.184469e-09, 1.862645e-09, 3.150696e-07 : 000, -1
22 :  -0.444518,  -0.389162,   0.000000 |   0.972903,   0.000000, -138.798828 | 2.429170e-09, 1.396984e-09, 6.897966e-08 : 000, -1
23 :   0.449893,  -0.362924,   0.000000 |   0.951875,   0.000000,  -38.892763 | 3.893840e-09, 1.862645e-09, 7.033597e-08 : 000, -1
24 :  -0.101285,   0.352809,   0.000000 |   0.604460,   0.000000,  106.017733 | 2.507825e-09, 1.396984e-09, 1.462117e-07 : 001,  1
25 :   0.162590,  -0.074131,   0.000000 |   0.294263,   0.000000,  -24.509937 | 4.505531e-09, 4.656613e-10, 2.850189e-07 : 000, -1
26 :  -0.292637,  -0.126996,   0.000000 |   0.525325,   0.000000, -156.540450 | 3.290003e-09, 4.656613e-10, 3.251677e-08 : 000, -1
27 :   0.476108,   0.267151,   0.000000 |   0.899029,   0.000000,   29.297398 | 4.204970e-09, 2.328306e-09, 2.560589e-07 : 000, -1
28 :  -0.183958,   0.164338,   0.000000 |   0.406212,   0.000000,  138.224126 | 4.025680e-09, 4.656613e-10, 5.545274e-09 : 001,  1
29 :  -0.008806,  -0.234832,   0.000000 |   0.386985,   0.000000,  -92.147502 | 3.068324e-09, 9.313226e-10, 2.153699e-07 : 000, -1
30 :   0.336393,   0.308408,   0.000000 |   0.751536,   0.000000,   42.514857 | 2.772222e-09, 4.656613e-10, 2.128951e-08 : 000, -1
31 :   0.475144,  -0.279914,   0.000000 |   0.908131,   0.000000,  -30.502945 | 1.200862e-09, 9.313226e-10, 6.311378e-08 : 000, -1
32 :  -0.293496,   0.531297,   0.000000 |   0.999540,   0.000000,  118.916850 | 4.154891e-10, 4.656613e-10, 2.179635e-08 : 001,  1
33 :  -0.010509,   0.161073,   0.000000 |   0.265812,   0.000000,   93.732786 | 2.742548e-09, -0.000000e+00, 1.497359e-07 : 001,  1
34 :  -0.273926,   0.215069,   0.000000 |   0.573512,   0.000000,  141.863261 | 3.222287e-09, -0.000000e+00, 1.518333e-07 : 001,  1
35 :   0.149586,  -0.286923,   0.000000 |   0.532850,   0.000000,  -62.464988 | 2.118134e-09, 4.656613e-10, 1.631460e-07 : 000, -1
36 :   0.494953,  -0.144119,   0.000000 |   0.848918,   0.000000,  -16.234382 | 1.010804e-09, 4.656613e-10, 1.320734e-07 : 000, -1
37 :  -0.189340,   0.475988,   0.000000 |   0.843575,   0.000000,  111.691812 | 2.087948e-09, 1.396984e-09, 1.029877e-07 : 001,  1
38 :   0.090455,  -0.367509,   0.000000 |   0.623261,   0.000000,  -76.172602 | 6.234027e-10, -0.000000e+00, 1.460134e-07 : 000, -1
39 :  -0.227373,  -0.406198,   0.000000 |   0.766575,   0.000000, -119.238270 | 2.749468e-09, -0.000000e+00, 7.881560e-08 : 000, -1
40 :  -0.077060,  -0.458493,   0.000000 |   0.765619,   0.000000,  -99.540644 | 4.020990e-09, 9.313226e-10, 2.244153e-07 : 000, -1
