Hyperbolic vectoring test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 30
Number format               : q3.28
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration
 0 :  -5.194676,   6.158365,   0.000000 |   0.000000,   0.000000,    0.000000 | 5.194676e+00, 6.158365e+00, 0.000000e+00 : 000,  0
 1 :  -6.016944,  -0.310188,   0.000000 |   4.986110,   0.000000,    0.051598 | 1.100305e+01, 3.101882e-01, 5.159819e-02 : 000,  0
 2 :  -5.746268,   6.990062,   0.000000 |   0.000000,   0.000000,    0.000000 | 5.746268e+00, 6.990062e+00, 0.000000e+00 : 000,  0
 3 :   2.935878,  -7.687690,   0.000000 |   0.000000,   0.000000,    0.000000 | 2.935878e+00, 7.687690e+00, 0.000000e+00 : 000,  0
 4 :   2.243976,  -7.221617,   0.000000 |   0.000000,   0.000000,    0.000000 | 2.243976e+00, 7.221617e+00, 0.000000e+00 : 000,  0
 5 :   1.724180,   0.952799,   0.000000 |   1.192397,   0.000000,    0.622131 | 2.839394e-08, 3.725290e-09, 7.434753e-09 : 000, -1
 6 :  -1.620783,   3.421076,   0.000000 |   0.000000,   0.000000,    0.000000 | 1.620783e+00, 3.421076e+00, 0.000000e+00 : 000,  0
 7 :   7.182479,  -0.783229,   0.000000 |   5.924348,   0.000000,   -0.109482 | 2.152332e-08, 3.725290e-09, 1.398105e-09 : 000, -1
 8 :  -3.052255,  -2.942911,   0.000000 |   0.671834,   0.000000,    2.002105 | 3.724088e+00, 2.942911e+00, 2.002105e+00 : 000,  0
 9 :   3.331037,  -6.598049,   0.000000 |   0.000000,   0.000000,    0.000000 | 3.331037e+00, 6.598049e+00, 0.000000e+00 : 000,  0
10 :  -7.871916,   1.686249,   0.000000 |   6.380348,   0.000000,   -0.217580 | 1.425226e+01, 1.686249e+00, 2.175804e-01 : 000,  0
11 :   3.127833,   7.334025,   0.000000 |   0.000000,   0.000000,    0.000000 | 3.127833e+00, 7.334025e+00, 0.000000e+00 : 000,  0
12 :   0.332165,   2.435224,   0.000000 |   0.000000,   0.000000,    0.000000 | 3.321654e-01, 2.435224e+00, 0.000000e+00 : 000,  0
13 :   7.836189,   5.686645,   0.000000 |   4.473741,   0.000000,    0.919562 | 5.837988e-10, 3.725290e-09, 4.199071e-09 : 000, -1
14 :   6.302078,  -7.155383,   0.000000 |   0.000000,   0.000000,    0.000000 | 6.302078e+00, 7.155383e+00, 0.000000e+00 : 000,  0
15 :  -0.648392,   4.130540,   0.000000 |   0.000000,   0.000000,    0.000000 | 6.483923e-01, 4.130540e+00, 0.000000e+00 : 000,  0
16 :  -0.066797,  -2.642961,   0.000000 |   0.000000,   0.000000,    0.000000 | 6.679653e-02, 2.642961e+00, 0.000000e+00 : 000,  0
17 :  -3.730790,  -7.145682,   0.000000 |   0.000000,   0.000000,    0.000000 | 3.730790e+00, 7.145682e+00, 0.000000e+00 : 000,  0
18 :  -2.637055,  -4.573631,   0.000000 |   0.000000,   0.000000,    0.000000 | 2.637055e+00, 4.573631e+00, 0.000000e+00 : 000,  0
19 :   2.190549,   1.459104,   0.000000 |   1.355753,   0.000000,    0.803683 | 2.668252e-08, 0.000000e+00, 9.189201e-09 : 000, -1
20 :   1.451852,  -4.472384,   0.000000 |   0.000000,   0.000000,    0.000000 | 1.451852e+00, 4.472384e+00, 0.000000e+00 : 000,  0
21 :   1.594291,   2.846983,   0.000000 |   0.000000,   0.000000,    0.000000 | 1.594291e+00, 2.846983e+00, 0.000000e+00 : 000,  0
22 :   1.064854,  -2.222058,   0.000000 |   0.000000,   0.000000,    0.000000 | 1.064854e+00, 2.222058e+00, 0.000000e+00 : 000,  0
23 :  -4.267126,   2.112363,   0.000000 |   3.076497,   0.000000,   -0.542704 | 7.343624e+00, 2.112363e+00, 5.427036e-01 : 000,  0
24 :   6.299136,   4.714161,   0.000000 |   3.466839,   0.000000,    0.969267 | 2.780740e-08, 3.725290e-09, 4.045909e-09 : 000, -1
25 :  -6.880541,   0.438498,   0.000000 |   5.697740,   0.000000,   -0.063817 | 1.257828e+01, 4.384983e-01, 6.381670e-02 : 000,  0
26 :  -0.665209,   6.113209,   0.000000 |   0.000000,   0.000000,    0.000000 | 6.652091e-01, 6.113209e+00, 0.000000e+00 : 000,  0
27 :   1.054620,   4.703922,   0.000000 |   0.000000,   0.000000,    0.000000 | 1.054620e+00, 4.703922e+00, 0.000000e+00 : 000,  0
28 :   7.923176,  -2.353149,   0.000000 |   6.277856,   0.000000,   -0.306221 | 2.055717e-08, 1.117587e-08, 3.444647e-09 : 000, -1
29 :  -4.125281,  -1.117731,   0.000000 |   3.295040,   0.000000,    0.277885 | 7.420321e+00, 1.117731e+00, 2.778851e-01 : 000,  0
30 :   5.446084,  -7.405217,   0.000000 |   0.000000,   0.000000,    0.000000 | 5.446084e+00, 7.405217e+00, 0.000000e+00 : 000,  0
31 :   6.780583,  -3.649615,   0.000000 |   4.741867,   0.000000,   -0.601682 | 1.780701e-08, 0.000000e+00, 2.287623e-09 : 000, -1
32 :  -6.010797,  -7.740954,   0.000000 |   0.000000,   0.000000,    0.000000 | 6.010797e+00, 7.740954e+00, 0.000000e+00 : 000,  0
33 :  -6.225410,   0.827584,   0.000000 |   5.119883,   0.000000,   -0.133728 | 1.134529e+01, 8.275837e-01, 1.337279e-01 : 000,  0
34 :  -2.694437,   6.584205,   0.000000 |   0.000000,   0.000000,    0.000000 | 2.694437e+00, 6.584205e+00, 0.000000e+00 : 000,  0
35 :   0.535748,   5.931550,   0.000000 |   0.000000,   0.000000,    0.000000 | 5.357483e-01, 5.931550e+00, 0.000000e+00 : 000,  0
36 :  -4.598659,  -6.227045,   0.000000 |   0.000000,   0.000000,    0.000000 | 4.598659e+00, 6.227045e+00, 0.000000e+00 : 000,  0
37 :   2.175500,   6.606065,   0.000000 |   0.000000,   0.000000,    0.000000 | 2.175500e+00, 6.606065e+00, 0.000000e+00 : 000,  0
38 :  -7.118505,   4.731077,   0.000000 |   4.413472,   0.000000,   -0.801038 | 1.153198e+01, 4.731077e+00, 8.010381e-01 : 000,  0
39 :  -6.445841,  -7.149908,   0.000000 |   0.000000,   0.000000,    0.000000 | 6.445841e+00, 7.149908e+00, 0.000000e+00 : 000,  0
40 :   6.291024,  -3.962355,   0.000000 |   4.054630,   0.000000,   -0.741155 | 2.762989e-08, 7.450581e-09, 1.118841e-09 : 000, -1
41 :   7.035448,   3.538866,   0.000000 |   5.045588,   0.000000,    0.553321 | 9.946851e-07, 3.266994e-03, 6.474866e-04 : 000, -1
