Hyperbolic rotation test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 30
Number format               : q3.28
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           :  ON
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration
 0 :  -5.194676,   6.158365,  -0.459638 |  -7.206228,   7.711217,    0.000000 | 2.011552e+00, 1.552852e+00, 4.596384e-01 : 000,  0
 1 :  -6.016944,  -0.310188,   0.062047 |  -5.018343,  -0.567867,    0.000000 | 9.986004e-01, 2.576786e-01, 6.204677e-02 : 000,  0
 2 :  -5.746268,   6.990062,   0.359282 |  -2.950176,   4.428422,    0.000000 | 2.796092e+00, 2.561641e+00, 3.592823e-01 : 000,  0
 3 :   2.935878,  -7.687690,  -0.113237 |   3.175665,  -6.696495,    0.000000 | 2.397876e-01, 9.911945e-01, 1.132366e-01 : 000,  0
 4 :   2.243976,  -7.221617,   0.244879 |   0.436004,  -5.712395,    0.000000 | 1.807973e+00, 1.509222e+00, 2.448791e-01 : 000,  0
 5 :   1.724180,   0.952799,   0.868584 |   2.781552,   2.513010,    0.000000 | 1.505800e-08, 4.194488e-09, 0.000000e+00 : 000, -1
 6 :  -1.620783,   3.421076,   0.007265 |  -1.324306,   2.829050,    0.000000 | 2.964765e-01, 5.920265e-01, 7.265454e-03 : 000,  0
 7 :   7.182479,  -0.783229,   0.112545 |   5.924376,   0.018144,    0.000000 | 1.434890e-08, 3.487373e-08, 1.862645e-09 : 000, -1
 8 :  -3.052255,  -2.942911,  -0.172610 |  -2.146923,  -2.039097,    0.000000 | 9.053320e-01, 9.038137e-01, 1.726103e-01 : 000,  0
 9 :   3.331037,  -6.598049,   0.130629 |   2.070428,  -5.159628,    0.000000 | 1.260609e+00, 1.438421e+00, 1.306289e-01 : 000,  0
10 :   0.332165,   2.435224,   0.799590 |   2.162021,   2.946457,    0.000000 | 1.829855e+00, 5.112331e-01, 7.995897e-01 : 000,  0
11 :  -0.648392,   4.130540,  -0.891682 |  -4.244066,   5.428629,    0.000000 | 3.595673e+00, 1.298089e+00, 8.916824e-01 : 000,  0
12 :  -0.066797,  -2.642961,  -0.167750 |   0.313410,  -2.214668,    0.000000 | 3.802062e-01, 4.282928e-01, 1.677504e-01 : 000,  0
13 :  -3.730790,  -7.145682,  -0.289307 |  -1.486766,  -5.271065,    0.000000 | 2.244024e+00, 1.874618e+00, 2.893073e-01 : 000,  0
14 :  -2.637055,  -4.573631,  -0.926480 |   0.844712,  -3.213768,    0.000000 | 3.481767e+00, 1.359863e+00, 9.264797e-01 : 000,  0
15 :   2.190549,   1.459104,  -0.175530 |   1.632138,   0.908740,    0.000000 | 9.871905e-09, 1.833444e-09, 1.396984e-09 : 000, -1
16 :   1.451852,  -4.472384,   0.648662 |  -1.112469,  -3.682189,    0.000000 | 2.564322e+00, 7.901950e-01, 6.486623e-01 : 000,  0
17 :   1.594291,   2.846983,  -0.073763 |   1.152101,   2.271134,    0.000000 | 4.421898e-01, 5.758491e-01, 7.376252e-02 : 000,  0
18 :   1.064854,  -2.222058,   0.883070 |  -0.597154,  -1.724973,    0.000000 | 1.662007e+00, 4.970844e-01, 8.830696e-01 : 000,  0
19 :  -4.267126,   2.112363,  -0.616673 |  -5.386374,   4.421334,    0.000000 | 1.119248e+00, 2.308971e+00, 6.166733e-01 : 000,  0
20 :   6.299136,   4.714161,  -0.753153 |   3.548114,   0.755078,    0.000000 | 2.962876e-09, 4.277299e-10, 0.000000e+00 : 000, -1
21 :  -6.880541,   0.438498,   0.004249 |  -5.707852,   0.339605,    0.000000 | 1.172689e+00, 9.889375e-02, 4.248558e-03 : 000,  0
22 :  -0.665209,   6.113209,   0.567964 |   2.395060,   5.582400,    0.000000 | 3.060269e+00, 5.308090e-01, 5.679642e-01 : 000,  0
23 :   1.054620,   4.703922,  -0.995602 |  -3.214787,   4.980385,    0.000000 | 4.269406e+00, 2.764628e-01, 9.956018e-01 : 000,  0
24 :   7.923176,  -2.353149,   0.205429 |   6.309772,  -0.633834,    0.000000 | 1.107626e-08, 1.744586e-08, 4.656613e-10 : 000, -1
25 :  -4.125281,  -1.117731,   0.513823 |  -4.382787,  -2.889902,    0.000000 | 2.575059e-01, 1.772171e+00, 5.138227e-01 : 000,  0
26 :   6.780583,  -3.649615,   0.919029 |   4.982654,   1.530207,    0.000000 | 2.278427e-08, 3.737342e-09, 4.656613e-10 : 000, -1
27 :  -6.010797,  -7.740954,  -0.601963 |  -1.814556,  -4.435624,    0.000000 | 4.196242e+00, 3.305329e+00, 6.019631e-01 : 000,  0
28 :  -6.225410,   0.827584,   0.115293 |  -5.120753,   0.094392,    0.000000 | 1.104657e+00, 7.331914e-01, 1.152925e-01 : 000,  0
29 :  -2.694437,   6.584205,  -0.402382 |  -4.677454,   6.835869,    0.000000 | 1.983016e+00, 2.516642e-01, 4.023824e-01 : 000,  0
30 :   0.535748,   5.931550,  -0.287114 |  -0.969634,   4.996756,    0.000000 | 1.505382e+00, 9.347936e-01, 2.871136e-01 : 000,  0
31 :  -4.598659,  -6.227045,   0.456671 |  -6.663278,  -7.519116,    0.000000 | 2.064619e+00, 1.292071e+00, 4.566707e-01 : 000,  0
32 :  -7.118505,   4.731077,   0.315781 |  -4.943380,   2.226718,    0.000000 | 2.175124e+00, 2.504360e+00, 3.157805e-01 : 000,  0
33 :  -6.445841,  -7.149908,  -0.619009 |  -2.494945,  -3.579896,    0.000000 | 3.950896e+00, 3.570012e+00, 6.190087e-01 : 000,  0
34 :   6.291024,  -3.962355,  -0.041360 |   5.360666,  -3.506668,    0.000000 | 1.134569e+00, 1.046685e+01, 2.525337e-01 : 110,  1
35 :  -0.409655,   7.092046,  -0.163140 |  -1.308776,   6.019036,    0.000000 | 8.991210e-01, 1.073010e+00, 1.631399e-01 : 000,  0
36 :   2.073640,   2.897172,   0.823506 |   4.549038,   4.848955,    0.000000 | 2.475398e+00, 1.951783e+00, 8.235057e-01 : 000,  0
37 :   5.478254,  -7.341711,   0.444167 |   2.205855,  -4.616771,    0.000000 | 3.272399e+00, 2.724939e+00, 4.441665e-01 : 000,  0
38 :  -5.050225,   5.920459,   0.799006 |  -1.244479,   2.849955,    0.000000 | 3.805746e+00, 3.070505e+00, 7.990056e-01 : 000,  0
